id,question,answer
2527,What kind of wood can be affected by Stereum sanguinolentum?,dead
2528,What was the job of Barbara Ringer?,one of the lead architects of the 1976 Copyright Act
2529,What is the name of the school that serves as the high school for the students of Rushville?,Rushville Consolidated High School
2530,What type of shrimp have the ability to produce dormant eggs?,Brine shrimp
2531,"What is the name of the old courthouse in Batavia, New York?",Genesee County Courthouse
2532,What was the date of Frederick Charles Darwent’s death?,15 January 2020
2533,What is the name of the species that is found in North America?,Enallagma daeckii
2534,On what road is Mihai Viteazu located?,Budapest to Vienna
2535,What was the nickname of the Agar gun?,Coffee Mill Gun
2536,Which squadron is part of the 60th Air Mobility Wing at Travis Air Force Base?,22nd Airlift Squadron
2537,What was the name of the book's publisher?,Tor Books
2538,How many arrondissements are in Paris?,sixty eighteenth
2539,What does the color green in blue-faced malkoha mean?,parasitic cuckoo
2540,What is the Faroese capital named?,Tórshavn
2541,Where was Jacques Philippe Marie Binet born?,Rennes
2542,What is an inventor that created the first commercially available self-balancing unicycle?,Daniel Wood
2543,In what leagues did James Hurrell play?,British Premier League
2544,Who developed the idea of the protocol?,Jeff Edmonds and Kirk Pruhs
2545,How many total appearances for Barcelona did he make?,73
2546,When did Ireland become a member of the European Communities?,1 January 1973
2547,What was the name of the first-class cricket match in South Africa?,Sunfoil Series
2548,How many people live in the Tsuen Wan District?,17799
2549,What was the name of the ship that was chartered in Argentina and launched in 1911?,Santa Fe
2550,How many Palaces are located in the area?,8
2551,What is the FreeX Arrow?,"German single-place, paraglider"
2552,What was the name of the ruling that ended the second election for the mayor?,Supreme Court
2553,Who was elected governor of Maine in 1936?,Louis J. Brann
2554,What short story did Usman T. Malik write?,The Vaporization Enthalpy of a Peculiar Pakistani Family
2555,When was the Danish school founded in Højbjerg?,1558
2556,What letter is the first letter of the list?,Country
2557,How many people were living in Lakhauri at the time of the 2011 census?,2882
2558,What position did Eva Selin Lindgren hold?,professor in nuclear physics
2559,What percentage of voters rejected the new French constitution?,72.8%
2560,What did Paul Baines study before becoming a professor at the University of Leicester?,marketing
2561,What is the other example of the circumplex model?,the circumplex model of group tasks is a circle with four quadrants representing goal-related activities done by groups of people
2562,Who owns and operates the Murray Two Dam?,Victorian Government
2563,What is the usual measurement of momentum?,the pitch angle
2564,When did the Jeremy Kyle show debut?,"September 19, 2011"
2565,What does the Association for Computing Machinery get the credit for?,making a significant contribution to the use of information technology for humanitarian purposes
2566,The Muslim population in India grew out of what other group?,Muslim population
2567,What is the capital of Nigeria?,Bamako
2568,What was the name of the architect that designed the Wells Fargo Plaza?,Charles Brigham
2569,In what department of France is Argentan located?,Orne
2570,How many official state historical markers are located in Ripley County?,7
2571,Who was the only runner-up to be a winner of the World Series?,Sven-Göran Eriksson
2572,What nationality was Liu Gang born?,Chinese
2573,What is Sandra Eades native of?,Noongar
2574,What is the name of the architect of The Famous Department Store?,John Parkinson
2575,Who discovered NGC 6522?,William Herschel
2576,What is the name of the local soap opera that debuted on Tyne Tees Television?,Coronation Street
2577,"What is the name of the newspaper that serves the Washington, D.C. area?",The Daily News and Observer
2578,Where is the population of the city of Ankeny reported by the United States Census Bureau?,67355
2579,Who was mayor of Chicago in 1844?,Augustus Garrett
2580,What was the name of the first double doubling guitarist?,Amaro Carlevaro
2581,What was the nationality of Henry Hare Dugmore?,English
2582,When was the Logan Center 1 built?,2013
2583,What is the diagnosis of sacroiliac joint dysfunction?,physician
2584,What is the naturally occurring electric generator in the sun's interior?,produces electric currents and a magnetic field
2585,What is the name of the fourth-place finisher?,Josh Gracin
2586,Where was the 2021 Southern Frontier Cup torch relay held?,"Surrey, England"
2587,Who produced the Descent from the Cross by Torchlight?,Rembrandt
2588,How far is the town of Esenpınar from the Ankara city?,20 km
2589,What was the hub station for the Nagano Railway?,Nerima Station
2590,"What is the name of the Jamaican sound system that makes use of ska, roots, and dub music?",Spit Shine Records
2591,How long was the Loxton railway line closed?,1840
2592,What color are the sabres in the Chicanos club club?,red
2593,What is the biological pathways that consume or create cysteine?,cysteine metabolism
2594,What is the name of the Clint Black single?,One Emotion
2595,What was the profession of Judith Blake?,sociologist
2596,What architect designed the church?,Hans Jacob Sparre
2597,How many consecutive games did the Arkansas Razorbacks win in 2009?,5
2598,What is the other major Japanese real estate development company?,Mitsubishi Estate
2599,"What year was Queen's ""The Show Must Go On"" released?",1984
2600,How many people live in the municipality?,4018955
2601,What type of bird is it?,lyre-tailed honeyguide
2602,Where is the Sanhedrin executed?,Jerusalem
2603,Who wrote the 'Darkest Hour'?,Chris Gorak
2604,What was the last song to be used in the Junior Eurovision Song Contest?,Dambaje
2605,What was the name of the textile manufacturing company that later became the city of Nashua?,The Nashua Manufacturing Company
2606,Who hosted the 1994 Fangoria Chainsaw Awards ceremony?,Linnea Quigley
2607,What was the name of the film written and directed by Paul Mayersberg?,The Man Who Fell to Earth
2608,When was Ceuta province incorporated into the Roman province of Aquitaine?,158 BC
2609,What is the name of the Kannada play magazine?,Raknno
2610,What was the name of the first album released by American indie band Au Revoir Simone?,Spectrums
2611,What does the crude death rate represent?,total number of deaths per year per thousand people
2612,Where was the Hurons final home field?,Walter O. Briggs Field
2613,What was the national superintendent of heredity for the WCTU?,Ruth Alice Armstrong
2614,What was the name of the first song released by Brian Wilson?,Surfer Girl
2615,What is the name of the magazine that features art and reviews in the same section?,Art Plus Magazine
2616,Who was hired to fill the head coach spot vacated by John Bonamego?,Michigan wide receivers coach Jim McElwain
2617,What type of script is Dadanitic?,Oasis
2618,What type of aircraft was the Yakovlev Yak-6?,Soviet twin-engined utility aircraft
2619,When did the 1982 Dutch Grand Prix take place?,3 July 1982
2620,What percentage of vehicles in Nellore were trams in 2013?,48.6%
2621,What is the name of the encyclopedia that was published between 2003 and 2015?,Encyclopædia Britannica Ultimate Reference Suite
2622,Melaleucia obliquifasciata is a moth of what family?,Erebidae
2623,What county is Searles Lake located in?,San Bernardino County
2624,How many Czech players had played in the NHL?,3
2625,What is the flesh of salamanders taste like?,hard and sweet
2626,What was the name of the ferry that used to ply between Inverness and the Black Isle?,the Kessock Ferry
2627,What is the name of the geological formation in the city of Quetschaton?,The Quatsino Limestone
2628,What is the most popular route that travels through Kannamwar Nagar?,Route No 7
2629,Who was the leader of the Tadaklan Frontier Group?,Saandati Moussa
2630,What is the name of the powerful group that members of the group formed?,"Power Broker, Inc."
2631,Who was the former premier of Nunavut?,Eva Aariak
2632,What does the village of Studley Roger possibly be known as?,Studley Royal Park
2633,When was Tipu Munshi born?,25 August 1950
2634,What nationality is Kosal?,Turkish
2635,Who was the winner of the first Canadian Juno Award?,George Wilson
2636,Where are all named minor planets in the star system ordered?,"case-insensitive, alphabetical manner"
2637,"What is the Catholic saying that ""The grave is empty, the hero awoken"" a Catholic hymn for?",Easter
2638,When was the Egyptian album released?,May 2003
2639,What short story was the source of 'Crawling Sky'?,Joe R. Lansdale
2640,Which government official is trying to get rid of the National Endowment for the Arts?,President Donald Trump
2641,What is numbering schemes vary by?,location
2642,How many points did the defense score against the Warriors?,161
2643,What year was The Bones of Lazarus published?,2012
2644,What is Money Doesn't Grow on Trees?,Parent's Guide to Raising Financially Responsible Children
2645,What is the name of the closest airport to the city of Three Lakes?,Rhinelander–Oneida County Airport
